Node	In	Out	Rank_1	Rank_2	Rank_3
0	22	22	0.000506	2.656317	0.153555	0.000029
1	3	3	0.000084	0.440518	0.150085	0.000029
2	1	1	0.000045	0.235664	0.150006	0.000029
3	4	4	0.000112	0.586646	0.150593	0.000029
4	4	4	0.000108	0.566041	0.150044	0.000029
5	1	1	0.000190	1.000000	0.150615	0.000029
6	2	2	0.000071	0.373022	0.150023	0.000029
7	126	126	0.002755	14.476015	0.174296	0.000033
8	121	121	0.002454	12.892560	0.162640	0.000031
9	1	1	0.000052	0.273014	0.150025	0.000029
10	1	1	0.000057	0.298914	0.150062	0.000029
11	32	32	0.000766	4.021971	0.157700	0.000030
12	2	2	0.000070	0.366888	0.150130	0.000029
13	1	1	0.000049	0.258739	0.150004	0.000029
14	5	5	0.000127	0.667545	0.150497	0.000029
15	4	4	0.000106	0.558378	0.150144	0.000029
16	1	1	0.000046	0.239315	0.150068	0.000029
17	29	29	0.000646	3.394289	0.155783	0.000030
18	1	1	0.000058	0.303329	0.150441	0.000029
19	2	2	0.000081	0.425325	0.150277	0.000029
20	3	3	0.000217	1.140692	0.151537	0.000029
21	1	1	0.000085	0.449124	0.150208	0.000029
22	15	15	0.000333	1.751572	0.150812	0.000029
23	7	7	0.000164	0.862623	0.150835	0.000029
24	1	1	0.000047	0.244633	0.150003	0.000029
25	2	2	0.000065	0.341262	0.150119	0.000029
26	9	9	0.000199	1.046936	0.150292	0.000029
27	1	1	0.000097	0.507700	0.151590	0.000029
28	1	1	0.000048	0.253557	0.150004	0.000029
29	3	3	0.000088	0.464406	0.150138	0.000029
30	2	2	0.000090	0.474396	0.150342	0.000029
31	4	4	0.000143	0.749047	0.150780	0.000029
32	1	1	0.000060	0.317833	0.150124	0.000029
33	1	1	0.000053	0.281000	0.150070	0.000029
34	1	1	0.000051	0.269409	0.150013	0.000029
35	9	9	0.000201	1.056346	0.150337	0.000029
36	23	23	0.000458	2.408108	0.150746	0.000029
